Real-time data - subject to revision
Copyright Environment Canada(2022)

"Real-Time Hydrometric Data for RAINY LAKE NEAR FORT FRANCES (05PB007) [ON]"

05PB007	"RAINY LAKE NEAR FORT FRANCES"
Description of parameters:
46	"Water level (primary sensor)"	m

Date (EST)	Parameter 	Value (m)	Approval Name	Grade Name
2022-05-18 00:00:00	46	338.486	PRELIMINARY	UNSPECIFIED
2022-05-18 00:05:00	46	338.485	PRELIMINARY	UNSPECIFIED
2022-05-18 00:10:00	46	338.486	PRELIMINARY	UNSPECIFIED
2022-05-18 00:15:00	46	338.487	PRELIMINARY	UNSPECIFIED
2022-05-18 00:20:00	46	338.486	PRELIMINARY	UNSPECIFIED
2022-05-18 00:25:00	46	338.487	PRELIMINARY	UNSPECIFIED
2022-05-18 00:30:00	46	338.489	PRELIMINARY	UNSPECIFIED
2022-05-18 00:35:00	46	338.489	PRELIMINARY	UNSPECIFIED
2022-05-18 00:40:00	46	338.488	PRELIMINARY	UNSPECIFIED
2022-05-18 00:45:00	46	338.488	PRELIMINARY	UNSPECIFIED
2022-05-18 00:50:00	46	338.489	PRELIMINARY	UNSPECIFIED
2022-05-18 00:55:00	46	338.488	PRELIMINARY	UNSPECIFIED
2022-05-18 01:00:00	46	338.489	PRELIMINARY	UNSPECIFIED
2022-05-18 01:05:00	46	338.488	PRELIMINARY	UNSPECIFIED
2022-05-18 01:10:00	46	338.489	PRELIMINARY	UNSPECIFIED
2022-05-18 01:15:00	46	338.489	PRELIMINARY	UNSPECIFIED
2022-05-18 01:20:00	46	338.489	PRELIMINARY	UNSPECIFIED
2022-05-18 01:25:00	46	338.489	PRELIMINARY	UNSPECIFIED
2022-05-18 01:30:00	46	338.488	PRELIMINARY	UNSPECIFIED
2022-05-18 01:35:00	46	338.490	PRELIMINARY	UNSPECIFIED
2022-05-18 01:40:00	46	338.490	PRELIMINARY	UNSPECIFIED
2022-05-18 01:45:00	46	338.489	PRELIMINARY	UNSPECIFIED
2022-05-18 01:50:00	46	338.490	PRELIMINARY	UNSPECIFIED
2022-05-18 01:55:00	46	338.488	PRELIMINARY	UNSPECIFIED
2022-05-18 02:00:00	46	338.489	PRELIMINARY	UNSPECIFIED
2022-05-18 02:05:00	46	338.489	PRELIMINARY	UNSPECIFIED
2022-05-18 02:10:00	46	338.488	PRELIMINARY	UNSPECIFIED
2022-05-18 02:15:00	46	338.488	PRELIMINARY	UNSPECIFIED
2022-05-18 02:20:00	46	338.487	PRELIMINARY	UNSPECIFIED
2022-05-18 02:25:00	46	338.490	PRELIMINARY	UNSPECIFIED
2022-05-18 02:30:00	46	338.491	PRELIMINARY	UNSPECIFIED
2022-05-18 02:35:00	46	338.490	PRELIMINARY	UNSPECIFIED
2022-05-18 02:40:00	46	338.491	PRELIMINARY	UNSPECIFIED
2022-05-18 02:45:00	46	338.492	PRELIMINARY	UNSPECIFIED
2022-05-18 02:50:00	46	338.492	PRELIMINARY	UNSPECIFIED
2022-05-18 02:55:00	46	338.490	PRELIMINARY	UNSPECIFIED
2022-05-18 03:00:00	46	338.489	PRELIMINARY	UNSPECIFIED
2022-05-18 03:05:00	46	338.489	PRELIMINARY	UNSPECIFIED
2022-05-18 03:10:00	46	338.490	PRELIMINARY	UNSPECIFIED
2022-05-18 03:15:00	46	338.491	PRELIMINARY	UNSPECIFIED
2022-05-18 03:20:00	46	338.491	PRELIMINARY	UNSPECIFIED
2022-05-18 03:25:00	46	338.491	PRELIMINARY	UNSPECIFIED
2022-05-18 03:30:00	46	338.493	PRELIMINARY	UNSPECIFIED
2022-05-18 03:35:00	46	338.496	PRELIMINARY	UNSPECIFIED
2022-05-18 03:40:00	46	338.493	PRELIMINARY	UNSPECIFIED
2022-05-18 03:45:00	46	338.494	PRELIMINARY	UNSPECIFIED
2022-05-18 03:50:00	46	338.497	PRELIMINARY	UNSPECIFIED
2022-05-18 03:55:00	46	338.495	PRELIMINARY	UNSPECIFIED
2022-05-18 04:00:00	46	338.493	PRELIMINARY	UNSPECIFIED
2022-05-18 04:05:00	46	338.492	PRELIMINARY	UNSPECIFIED
2022-05-18 04:10:00	46	338.492	PRELIMINARY	UNSPECIFIED
2022-05-18 04:15:00	46	338.493	PRELIMINARY	UNSPECIFIED
2022-05-18 04:20:00	46	338.493	PRELIMINARY	UNSPECIFIED
2022-05-18 04:25:00	46	338.493	PRELIMINARY	UNSPECIFIED
2022-05-18 04:30:00	46	338.491	PRELIMINARY	UNSPECIFIED
2022-05-18 04:35:00	46	338.494	PRELIMINARY	UNSPECIFIED
2022-05-18 04:40:00	46	338.495	PRELIMINARY	UNSPECIFIED
2022-05-18 04:45:00	46	338.495	PRELIMINARY	UNSPECIFIED
2022-05-18 04:50:00	46	338.495	PRELIMINARY	UNSPECIFIED
2022-05-18 04:55:00	46	338.497	PRELIMINARY	UNSPECIFIED
