STATION,STATION_NAME,DATE,TMAX,TMIN,TOBS
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060701,239,56,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060702,250,67,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060703,278,167,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060704,244,100,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060705,272,44,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060706,294,67,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060707,300,100,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060708,311,161,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060709,294,100,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060710,311,172,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060711,328,161,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060712,328,183,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060713,300,156,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060714,278,139,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060715,206,94,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060716,233,94,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060717,267,100,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060718,289,78,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060719,261,156,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060720,328,100,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060721,356,183,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060722,289,122,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060723,267,89,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060724,294,128,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060725,300,156,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060726,294,139,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060727,289,100,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060728,278,150,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060729,256,83,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060730,228,156,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060731,244,39,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060801,250,106,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060802,244,183,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060803,233,72,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060804,239,89,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060805,250,39,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060806,278,50,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060807,294,72,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060808,306,72,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060809,306,72,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060810,283,111,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060811,250,117,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060812,272,22,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060813,328,144,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060814,328,161,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060815,306,206,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060816,311,167,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060817,322,128,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060818,322,156,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060819,322,172,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060820,222,178,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060821,183,128,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060822,150,111,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060823,217,122,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060824,200,133,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060825,239,156,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060826,239,100,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060827,239,22,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060828,200,111,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060829,161,56,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060830,167,17,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060831,200,-28,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060901,267,100,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060902,211,161,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060903,244,17,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060904,289,128,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060905,250,139,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060906,328,89,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060907,356,172,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060908,333,172,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060909,339,94,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060910,339,150,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060911,278,122,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060912,167,17,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060913,206,44,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060914,200,44,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060915,211,94,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060916,211,100,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060917,222,67,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060918,256,39,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060919,239,83,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060920,267,56,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060921,211,144,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060922,189,44,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060923,183,67,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060924,211,56,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060925,250,94,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060926,156,100,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060927,194,-22,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060928,178,94,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060929,156,33,-9999
GHCND:USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT MN US,19060930,161,-44,-9999
