"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","48.55943","-93.39554","352.6","1949-10-01",,,"0.08",",,0,","0.0",",,0","0.0",",,0",,,"64",",,0","44",",,0",,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","48.55943","-93.39554","352.6","1949-10-02",,,"0.00",",,0,","0.0",",,0","0.0",",,0",,,"66",",,0","41",",,0",,,,,"    1",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","48.55943","-93.39554","352.6","1949-10-03",,,"0.09",",,0,","0.0",",,0","0.0",",,0",,,"58",",,0","40",",,0",,,,,"    1",",,X",,,,,,,,,,,,,,,,,,,"    1",",,X",,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","48.55943","-93.39554","352.6","1949-10-04",,,"0.00",",,0,","0.0",",,0","0.0",",,0",,,"62",",,0","32",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","48.55943","-93.39554","352.6","1949-10-05",,,"0.00",",,0,","0.0",",,0","0.0",",,0",,,"61",",,0","41",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","48.55943","-93.39554","352.6","1949-10-06",,,"0.59",",,0,","0.0",",,0","0.0",",,0",,,"66",",,0","45",",,0",,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","48.55943","-93.39554","352.6","1949-10-07",,,"0.11",",,0,","0.0",",,0","0.0",",,0",,,"49",",,0","38",",,0",,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","48.55943","-93.39554","352.6","1949-10-08",,,"0.16",",,0,","0.0",",,0","0.0",",,0",,,"47",",,0","40",",,0",,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,"    1",",,X",,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","48.55943","-93.39554","352.6","1949-10-09",,,"0.00",",,0,","0.0",",,0","0.0",",,0",,,"59",",,0","28",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","48.55943","-93.39554","352.6","1949-10-10",,,"1.90",",,0,","0.0","T,,0","0.0",",,0",,,"67",",,0","48",",,0",,,,,"    1",",,X","    1",",,X",,,,,,,,,,,,,,,,,"    1",",,X","    1",",,X"
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","48.55943","-93.39554","352.6","1949-10-11",,,"0.03",",,0,","0.0",",,0","0.0",",,0",,,"48",",,0","30",",,0",,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","48.55943","-93.39554","352.6","1949-10-12",,,"0.00","T,,0,","0.0",",,0","0.0",",,0",,,"60",",,0","28",",,0",,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","48.55943","-93.39554","352.6","1949-10-13",,,"0.00",",,0,","0.0",",,0","0.0",",,0",,,"52",",,0","30",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","48.55943","-93.39554","352.6","1949-10-14",,,"0.00",",,0,","0.0",",,0","0.0",",,0",,,"58",",,0","28",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","48.55943","-93.39554","352.6","1949-10-15",,,"0.00",",,0,","0.0",",,0","0.0",",,0",,,"63",",,0","36",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","48.55943","-93.39554","352.6","1949-10-16",,,"0.00",",,0,","0.0",",,0","0.0",",,0",,,"59",",,0","40",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
