Real-time data - subject to revision
Copyright Environment Canada(2022)

"Real-Time Hydrometric Data for RAINY LAKE NEAR FORT FRANCES (05PB007) [ON]"

05PB007,"RAINY LAKE NEAR FORT FRANCES"
Description of parameters:
46,"Water level (primary sensor)",m

Date (EST),Parameter ,Value (m),Approval Name,Grade Name
2022-06-22 00:00:00,46,339.226,PRELIMINARY,UNSPECIFIED
2022-06-22 00:05:00,46,339.226,PRELIMINARY,UNSPECIFIED
2022-06-22 00:10:00,46,339.220,PRELIMINARY,UNSPECIFIED
2022-06-22 00:15:00,46,339.225,PRELIMINARY,UNSPECIFIED
2022-06-22 00:20:00,46,339.231,PRELIMINARY,UNSPECIFIED
2022-06-22 00:25:00,46,339.227,PRELIMINARY,UNSPECIFIED
2022-06-22 00:30:00,46,339.226,PRELIMINARY,UNSPECIFIED
2022-06-22 00:35:00,46,339.227,PRELIMINARY,UNSPECIFIED
2022-06-22 00:40:00,46,339.226,PRELIMINARY,UNSPECIFIED
2022-06-22 00:45:00,46,339.230,PRELIMINARY,UNSPECIFIED
2022-06-22 00:50:00,46,339.226,PRELIMINARY,UNSPECIFIED
2022-06-22 00:55:00,46,339.223,PRELIMINARY,UNSPECIFIED
2022-06-22 01:00:00,46,339.222,PRELIMINARY,UNSPECIFIED
2022-06-22 01:05:00,46,339.219,PRELIMINARY,UNSPECIFIED
2022-06-22 01:10:00,46,339.217,PRELIMINARY,UNSPECIFIED
2022-06-22 01:15:00,46,339.219,PRELIMINARY,UNSPECIFIED
2022-06-22 01:20:00,46,339.218,PRELIMINARY,UNSPECIFIED
2022-06-22 01:25:00,46,339.216,PRELIMINARY,UNSPECIFIED
2022-06-22 01:30:00,46,339.215,PRELIMINARY,UNSPECIFIED
2022-06-22 01:35:00,46,339.214,PRELIMINARY,UNSPECIFIED
2022-06-22 01:40:00,46,339.216,PRELIMINARY,UNSPECIFIED
2022-06-22 01:45:00,46,339.213,PRELIMINARY,UNSPECIFIED
2022-06-22 01:50:00,46,339.215,PRELIMINARY,UNSPECIFIED
2022-06-22 01:55:00,46,339.212,PRELIMINARY,UNSPECIFIED
2022-06-22 02:00:00,46,339.217,PRELIMINARY,UNSPECIFIED
2022-06-22 02:05:00,46,339.213,PRELIMINARY,UNSPECIFIED
2022-06-22 02:10:00,46,339.214,PRELIMINARY,UNSPECIFIED
2022-06-22 02:15:00,46,339.215,PRELIMINARY,UNSPECIFIED
2022-06-22 02:20:00,46,339.214,PRELIMINARY,UNSPECIFIED
2022-06-22 02:25:00,46,339.213,PRELIMINARY,UNSPECIFIED
2022-06-22 02:30:00,46,339.214,PRELIMINARY,UNSPECIFIED
2022-06-22 02:35:00,46,339.212,PRELIMINARY,UNSPECIFIED
2022-06-22 02:40:00,46,339.214,PRELIMINARY,UNSPECIFIED
2022-06-22 02:45:00,46,339.214,PRELIMINARY,UNSPECIFIED
2022-06-22 02:50:00,46,339.214,PRELIMINARY,UNSPECIFIED
2022-06-22 02:55:00,46,339.214,PRELIMINARY,UNSPECIFIED
2022-06-22 03:00:00,46,339.214,PRELIMINARY,UNSPECIFIED
2022-06-22 03:05:00,46,339.215,PRELIMINARY,UNSPECIFIED
2022-06-22 03:10:00,46,339.213,PRELIMINARY,UNSPECIFIED
2022-06-22 03:15:00,46,339.212,PRELIMINARY,UNSPECIFIED
2022-06-22 03:20:00,46,339.210,PRELIMINARY,UNSPECIFIED
2022-06-22 03:25:00,46,339.208,PRELIMINARY,UNSPECIFIED
2022-06-22 03:30:00,46,339.206,PRELIMINARY,UNSPECIFIED
2022-06-22 03:35:00,46,339.206,PRELIMINARY,UNSPECIFIED
2022-06-22 03:40:00,46,339.208,PRELIMINARY,UNSPECIFIED
2022-06-22 03:45:00,46,339.208,PRELIMINARY,UNSPECIFIED
2022-06-22 03:50:00,46,339.206,PRELIMINARY,UNSPECIFIED
2022-06-22 03:55:00,46,339.206,PRELIMINARY,UNSPECIFIED
2022-06-22 04:00:00,46,339.207,PRELIMINARY,UNSPECIFIED
2022-06-22 04:05:00,46,339.207,PRELIMINARY,UNSPECIFIED
2022-06-22 04:10:00,46,339.207,PRELIMINARY,UNSPECIFIED
2022-06-22 04:15:00,46,339.206,PRELIMINARY,UNSPECIFIED
2022-06-22 04:20:00,46,339.205,PRELIMINARY,UNSPECIFIED
2022-06-22 04:25:00,46,339.202,PRELIMINARY,UNSPECIFIED
2022-06-22 04:30:00,46,339.203,PRELIMINARY,UNSPECIFIED
2022-06-22 04:35:00,46,339.204,PRELIMINARY,UNSPECIFIED
2022-06-22 04:40:00,46,339.204,PRELIMINARY,UNSPECIFIED
2022-06-22 04:45:00,46,339.204,PRELIMINARY,UNSPECIFIED
2022-06-22 04:50:00,46,339.204,PRELIMINARY,UNSPECIFIED
2022-06-22 04:55:00,46,339.205,PRELIMINARY,UNSPECIFIED
2022-06-22 05:00:00,46,339.205,PRELIMINARY,UNSPECIFIED
2022-06-22 05:05:00,46,339.205,PRELIMINARY,UNSPECIFIED
2022-06-22 05:10:00,46,339.204,PRELIMINARY,UNSPECIFIED
2022-06-22 05:15:00,46,339.204,PRELIMINARY,UNSPECIFIED
2022-06-22 05:20:00,46,339.202,PRELIMINARY,UNSPECIFIED
2022-06-22 05:25:00,46,339.203,PRELIMINARY,UNSPECIFIED
2022-06-22 05:30:00,46,339.202,PRELIMINARY,UNSPECIFIED
2022-06-22 05:35:00,46,339.203,PRELIMINARY,UNSPECIFIED
2022-06-22 05:40:00,46,339.204,PRELIMINARY,UNSPECIFIED
2022-06-22 05:45:00,46,339.205,PRELIMINARY,UNSPECIFIED
2022-06-22 05:50:00,46,339.205,PRELIMINARY,UNSPECIFIED
2022-06-22 05:55:00,46,339.206,PRELIMINARY,UNSPECIFIED
2022-06-22 06:00:00,46,339.205,PRELIMINARY,UNSPECIFIED
2022-06-22 06:05:00,46,339.204,PRELIMINARY,UNSPECIFIED
2022-06-22 06:10:00,46,339.203,PRELIMINARY,UNSPECIFIED
2022-06-22 06:15:00,46,339.203,PRELIMINARY,UNSPECIFIED
2022-06-22 06:20:00,46,339.202,PRELIMINARY,UNSPECIFIED
2022-06-22 06:25:00,46,339.201,PRELIMINARY,UNSPECIFIED
2022-06-22 06:30:00,46,339.203,PRELIMINARY,UNSPECIFIED
2022-06-22 06:35:00,46,339.204,PRELIMINARY,UNSPECIFIED
2022-06-22 06:40:00,46,339.203,PRELIMINARY,UNSPECIFIED
2022-06-22 06:45:00,46,339.202,PRELIMINARY,UNSPECIFIED
2022-06-22 06:50:00,46,339.203,PRELIMINARY,UNSPECIFIED
2022-06-22 06:55:00,46,339.202,PRELIMINARY,UNSPECIFIED
2022-06-22 07:00:00,46,339.204,PRELIMINARY,UNSPECIFIED
2022-06-22 07:05:00,46,339.202,PRELIMINARY,UNSPECIFIED
