"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD"
"US1MNKC0004","INTERNATIONAL FALLS 7.7 S, MN US","2022-04-30",,,"0.71",,
"US1MNKC0004","INTERNATIONAL FALLS 7.7 S, MN US","2022-05-01",,,"0.20",,
"US1MNKC0004","INTERNATIONAL FALLS 7.7 S, MN US","2022-05-02",,,"0.04",,
"US1MNKC0004","INTERNATIONAL FALLS 7.7 S, MN US","2022-05-08",,,"0.04",,
"US1MNKC0004","INTERNATIONAL FALLS 7.7 S, MN US","2022-05-09",,,"0.30",,
"US1MNKC0004","INTERNATIONAL FALLS 7.7 S, MN US","2022-05-10",,,"0.15",,
"US1MNKC0004","INTERNATIONAL FALLS 7.7 S, MN US","2022-05-13",,,"1.30",,
"US1MNKC0004","INTERNATIONAL FALLS 7.7 S, MN US","2022-05-14",,,"0.00","0.0",
"US1MNKC0004","INTERNATIONAL FALLS 7.7 S, MN US","2022-05-15",,,"0.09",,
"US1MNKC0004","INTERNATIONAL FALLS 7.7 S, MN US","2022-05-16",,,"0.00","0.0",
"US1MNKC0004","INTERNATIONAL FALLS 7.7 S, MN US","2022-05-17",,,"0.00",,
"US1MNKC0004","INTERNATIONAL FALLS 7.7 S, MN US","2022-05-18",,,"0.03",,
"US1MNKC0004","INTERNATIONAL FALLS 7.7 S, MN US","2022-05-19",,,"0.16",,
"US1MNKC0004","INTERNATIONAL FALLS 7.7 S, MN US","2022-05-20",,,"0.05",,
"US1MNKC0004","INTERNATIONAL FALLS 7.7 S, MN US","2022-05-21",,,"0.03",,
"US1MNKC0004","INTERNATIONAL FALLS 7.7 S, MN US","2022-05-23",,,"0.01",,
"US1MNKC0004","INTERNATIONAL FALLS 7.7 S, MN US","2022-05-24",,,"0.00","0.0",
"US1MNKC0004","INTERNATIONAL FALLS 7.7 S, MN US","2022-05-25",,,"0.00","0.0",
"US1MNKC0004","INTERNATIONAL FALLS 7.7 S, MN US","2022-05-26",,,"0.05",,
"US1MNKC0008","INTERNATIONAL FALLS 1.1 NW, MN US","2022-01-01",,,"0.00","0.0",
"US1MNKC0008","INTERNATIONAL FALLS 1.1 NW, MN US","2022-01-02",,,"0.00","0.0",
"US1MNKC0008","INTERNATIONAL FALLS 1.1 NW, MN US","2022-01-03",,,"0.00","0.0",
"US1MNKC0008","INTERNATIONAL FALLS 1.1 NW, MN US","2022-01-04",,,"0.00",,
"US1MNKC0008","INTERNATIONAL FALLS 1.1 NW, MN US","2022-01-05",,,"0.08",,
"US1MNKC0008","INTERNATIONAL FALLS 1.1 NW, MN US","2022-01-13",,,"0.09","1.1",
"US1MNKC0008","INTERNATIONAL FALLS 1.1 NW, MN US","2022-01-15",,,"0.00","0.0",
"US1MNKC0008","INTERNATIONAL FALLS 1.1 NW, MN US","2022-01-16",,,"0.04",,
"US1MNKC0008","INTERNATIONAL FALLS 1.1 NW, MN US","2022-01-17",,,"0.03","0.6",
"US1MNKC0007","INTERNATIONAL FALLS 10.3 E, MN US","2022-05-02",,,"0.05",,
"US1MNKC0007","INTERNATIONAL FALLS 10.3 E, MN US","2022-05-03",,,"0.00","0.0",
"US1MNKC0007","INTERNATIONAL FALLS 10.3 E, MN US","2022-05-05",,,"0.00","0.0",
"US1MNKC0007","INTERNATIONAL FALLS 10.3 E, MN US","2022-05-06",,,"0.00","0.0",
"US1MNKC0007","INTERNATIONAL FALLS 10.3 E, MN US","2022-05-07",,,"0.00","0.0",
"US1MNKC0007","INTERNATIONAL FALLS 10.3 E, MN US","2022-05-08",,,"0.04",,
"US1MNKC0007","INTERNATIONAL FALLS 10.3 E, MN US","2022-05-09",,,"0.39",,
"US1MNKC0007","INTERNATIONAL FALLS 10.3 E, MN US","2022-05-10",,,"0.11",,
"US1MNKC0007","INTERNATIONAL FALLS 10.3 E, MN US","2022-05-11",,,"0.00","0.0",
"US1MNKC0007","INTERNATIONAL FALLS 10.3 E, MN US","2022-05-12",,,"0.00","0.0",
"US1MNKC0007","INTERNATIONAL FALLS 10.3 E, MN US","2022-05-13",,,"0.87",,
"US1MNKC0007","INTERNATIONAL FALLS 10.3 E, MN US","2022-05-22","    9","0.37",,,
"US1MNKC0007","INTERNATIONAL FALLS 10.3 E, MN US","2022-05-23",,,"0.00","0.0",
"US1MNKC0007","INTERNATIONAL FALLS 10.3 E, MN US","2022-05-24",,,"0.05",,
"US1MNKC0007","INTERNATIONAL FALLS 10.3 E, MN US","2022-05-25",,,"0.00","0.0",
"US1MNKC0007","INTERNATIONAL FALLS 10.3 E, MN US","2022-05-26",,,"0.03",,
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","2022-01-01",,,"0.00","0.0","13.0"
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","2022-01-02",,,"0.00","0.0","11.8"
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","2022-01-03",,,"0.00","0.1","11.8"
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","2022-01-04",,,"0.02","0.3","11.8"
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","2022-01-05",,,"0.02","0.5","11.8"
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","2022-01-06",,,"0.00","0.0","11.8"
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","2022-01-07",,,"0.04","0.7","13.0"
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","2022-01-08",,,"0.04","0.7","13.0"
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","2022-01-09",,,"0.00","0.0","13.0"
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","2022-01-10",,,"0.00","0.0","13.0"
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","2022-01-11",,,"0.00","0.0","13.0"
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","2022-01-12",,,"0.09","1.0","13.0"
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","2022-01-13",,,"0.04","0.2","13.0"
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","2022-01-14",,,"0.00","0.0","13.0"
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","2022-01-15",,,"0.00","0.0","13.0"
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","2022-01-16",,,"0.01","0.1","13.0"
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","2022-01-17",,,"0.03","0.5","13.0"
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","2022-01-18",,,"0.47","4.8","14.2"
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","2022-01-19",,,"0.00","0.0","16.9"
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","2022-01-20",,,"0.00","0.0","16.1"
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","2022-01-21",,,"0.12","1.4","16.9"
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","2022-01-22",,,"0.00","0.0","16.9"
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","2022-01-23",,,"0.01","0.4","16.9"
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","2022-01-24",,,"0.00","0.0","16.9"
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","2022-01-25",,,"0.00","0.0","16.9"
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","2022-01-26",,,"0.05","0.5","16.9"
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","2022-01-27",,,"0.00","0.0","16.9"
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","2022-01-28",,,"0.00","0.0","16.9"
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","2022-01-29",,,"0.00","0.0","16.9"
"USW00014918","INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US","2022-01-30",,,"0.00","0.0","16.9"
