rainy,
ice out date, source, comments
1930-05-03,MNDNR-SCO,
1931-05-05,MNDNR-SCO,
1932-05-07,MNDNR-SCO,
1933-05-06,MNDNR-SCO,
1934-05-06,MNDNR-SCO,
1935-05-08,MNDNR-SCO,
1936-05-13,MNDNR-SCO,
1937-05-07,MNDNR-SCO,
1938-05-03,MNDNR-SCO,
1939-05-05,MNDNR-SCO,
1940-05-10,MNDNR-SCO,
1941-04-25,MNDNR-SCO,
1942-04-25,MNDNR-SCO,
1943-05-04,MNDNR-SCO,
1944-05-11,MNDNR-SCO,
1945-04-23,MNDNR-SCO,
1946-04-22,MNDNR-SCO,
1947-05-11,MNDNR-SCO,
1948-05-06,MNDNR-SCO,
1949-04-28,MNDNR-SCO,
1950-05-22,MNDNR-SCO,
1951-05-09,MNDNR-SCO,
1952-05-04,MNDNR-SCO,
1953-05-04,MNDNR-SCO,
1954-05-14,MNDNR-SCO,
1955-04-23,MNDNR-SCO,
1956-05-11,MNDNR-SCO,
1957-05-07,MNDNR-SCO,
1958-04-22,MNDNR-SCO,
1959-05-06,MNDNR-SCO,
1960-05-16,MNDNR-SCO,
1961-05-08,MNDNR-SCO,
1962-05-07,MNDNR-SCO,
1963-04-30,MNDNR-SCO,
1964-05-06,MNDNR-SCO,
1965-05-07,MNDNR-SCO,
1966-05-15,MNDNR-SCO,
1967-05-05,MNDNR-SCO,
1968-05-06,MNDNR-SCO,
1969-04-28,MNDNR-SCO,
1970-05-09,MNDNR-SCO,
1971-05-02,MNDNR-SCO,
1972-05-16,MNDNR-SCO,
1973-04-23,MNDNR-SCO,
1974-05-11,MNDNR-SCO,
1975-05-10,MNDNR-SCO,
1976-04-18,MNDNR-SCO,
1977-05-03,MNDNR-SCO,
1978-05-10,MNDNR-SCO,
1979-05-12,MNDNR-SCO,
1980-05-02,MNDNR-SCO,
1981-04-29,MNDNR-SCO,
1982-05-07,MNDNR-SCO,
1983-05-01,MNDNR-SCO,
1984-04-28,MNDNR-SCO,
1985-04-30,MNDNR-SCO,
1986-04-23,MNDNR-SCO,
1987-04-18,MNDNR-SCO,
1988-05-06,MNDNR-LAKESDB,Climatology Ice-Out Book statistics
1988-05-06,MNDNR-SCO,
1989-05-06,MNDNR-SCO,
1990-04-29,MNDNR-SCO,
1991-04-27,MNDNR-LAKESDB,Climatology Ice-Out Book statistics
1991-04-27,MNDNR-SCO,
1992-05-07,MNDNR-LAKESDB,Climatology Ice-Out Book statistics
1992-05-07,MNDNR-SCO,
1993-04-30,MNDNR-SCO,
1993-04-30,MNDNR-LAKESDB,Climatology Ice-Out Book statistics
1994-05-08,MNDNR-LAKESDB,Climatology Ice-Out Book statistics
1994-05-08,MNDNR-SCO,
1995-05-02,MNDNR-LAKESDB,Climatology Ice-Out Book statistics
1995-05-02,MNDNR-SCO,
1996-05-18,MNDNR-SCO,
1996-05-19,MNDNR-LAKESDB,Climatology Ice-Out Book statistics
1997-05-05,MNDNR-LAKESDB,Climatology Ice-Out Book statistics
1997-05-05,MNDNR-SCO,
1998-04-13,MNDNR-SCO,
1998-04-13,MNDNR-LAKESDB,Climatology Ice-Out Book statistics
1999-05-01,MNDNR-SCO,
1999-05-01,MNDNR-LAKESDB,Climatology Ice-Out Book statistics
2000-04-22,MNDNR-SCO,
2001-05-01,MNDNR-SCO,
2002-05-04,MNDNR-SCO,
2003-05-05,MNDNR-SCO,
2004-05-01,MNDNR-SCO,
2005-04-23,MNDNR-SCO,
2006-04-16,MNDNR-SCO,
2007-05-04,MNDNR-SCO,
2008-05-14,MNDNR-SCO,
2009-04-30,MNDNR-SCO,
2010-04-10,MNDNR-SCO,
2011-05-02,MNDNR-SCO,
2012-04-06,MNDNR-SCO,
2013-05-16,MNDNR-SCO,
2014-05-20,MNDNR-SCO,International Falls Journal
2015-04-28,MNDNR-SCO,
