,H,I,O
1971-01-01,337.365,479.0,479.0
1971-01-02,337.3568170205625,478.92759940861487,479.0065225758005
1971-01-03,337.35246596170543,456.83719242927026,476.41953712232
1971-01-04,337.34296235339895,402.14438638207304,473.48999606442834
1971-01-05,337.33244074828383,372.0006626193107,439.24269322334857
1971-01-06,337.3276456924691,379.15833071021245,428.9198569567812
1971-01-07,337.3245651482485,387.8886652042256,428.0481528686149
1971-01-08,337.31949679980437,377.9097254743201,428.03723205650607
1971-01-09,337.3135366623323,367.07046027994875,412.4656354466028
1971-01-10,337.305366828665,339.5881415280637,411.21431192238
1971-01-11,337.30048221980996,350.04814152955595,426.5567368174678
1971-01-12,337.2946765205918,356.555354142631,427.85726913665144
1971-01-13,337.29115478176993,373.44347229290975,396.7848691576057
1971-01-14,337.2867931191822,357.44545771993626,380.54551014545365
1971-01-15,337.28343462425136,348.7036123415648,379.1587368216277
1971-01-16,337.282435038345,360.06954181111655,381.723814800422
1971-01-17,337.27712201329234,337.50570362773624,379.3035439192685
1971-01-18,337.26859195163684,305.49609475557116,377.2996696694126
1971-01-19,337.2658166255756,329.29034417627577,378.7782485507642
1971-01-20,337.2633639970296,342.0764240821952,378.9389007676958
1971-01-21,337.2540399596472,301.00084707593567,358.9774186526421
1971-01-22,337.24672640838395,286.3828921552819,354.4662393205564
1971-01-23,337.24013923339584,283.6433873981499,372.37000907027084
1971-01-24,337.23356591574355,292.3837675519974,376.5824465414578
1971-01-25,337.2252643797878,287.0855015840476,381.5630159896758
1971-01-26,337.21321480830727,262.6567185067463,379.29624890485417
1971-01-27,337.2052314482736,278.099726308341,377.1413586540337
1971-01-28,337.1969264997416,279.46421010906477,343.1120296153804
1971-01-29,337.19560618317587,307.44687887334027,331.9233365283835
1971-01-30,337.1893519099955,280.2578343203873,328.4195677560272
1971-01-31,337.1850165296219,279.9333994265863,330.784551844177
1971-02-01,337.1793783331597,272.319387541105,328.2589577854752
1971-02-02,337.1756048038542,280.2722592559818,330.74356701592154
1971-02-03,337.1725374092916,289.57238246196863,330.94757546024186
1971-02-04,337.16972548641627,295.08188512979524,328.2290239748362
1971-02-05,337.16017002975065,251.46676884317122,330.9124307067743
1971-02-06,337.15153186024844,240.76605190330278,328.27994623482414
1971-02-07,337.1446977797474,246.8406559622134,328.0033028548252
1971-02-08,337.14088785403686,269.19783133565875,327.9259777314897
1971-02-09,337.13817924908807,285.6974020421884,327.9389558407381
1971-02-10,337.1310975792675,263.63323300785066,328.06820339916436
1971-02-11,337.12660113933305,271.65121919156184,327.97907690099345
1971-02-12,337.11889316097654,253.69629655622546,328.0579137685517
1971-02-13,337.1120752155256,252.18408179791322,328.00988512610695
1971-02-14,337.1080982856295,270.31098472696056,327.94058848472594
1971-02-15,337.1052554327327,285.2790106582998,327.9452716118856
1971-02-16,337.10036478337344,277.9460305541614,328.019777324103
1971-02-17,337.09221932915045,253.43410875507678,328.0831197974782
1971-02-18,337.08213945838634,230.52761562806245,328.08309961265604
1971-02-19,337.07688030983013,253.04534051838561,330.6804073466221
1971-02-20,337.0647367298545,218.1241448786853,328.3409686641825
1971-02-21,337.0542355854974,213.39632511768735,330.79259025710246
1971-02-22,337.04696344946063,234.24359973630388,333.6615818435566
1971-02-23,337.0365422360541,223.3259311237509,328.51135092733705
1971-02-24,337.03164032003014,250.5298078281344,289.4767585692777
1971-02-25,337.02954770501645,259.6298597804342,291.7580304574739
1971-02-26,337.021672544044,225.98047234587287,283.8467207951554
1971-02-27,337.01914639256717,243.1377461682518,283.0140304647753
1971-02-28,337.0189160562468,264.9249026832425,282.0126831164152
1971-03-01,337.0193604109504,277.77627011332083,280.1261771751705
