# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2022-06-02 15:26:52 EDT       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 05129515 RAINY R AT BOAT LANDING BLW INTERNATIONAL FALLS,MN
# -----------------------------------------------------------------------------------
#
# Data provided for site 05129515
#            TS   parameter     statistic     Description
#         72905       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	72905_00060_00003	72905_00060_00003_cd
5s	15s	20d	14n	10s
USGS	05129515	2021-06-01	8300	A
USGS	05129515	2021-06-02	7390	A
USGS	05129515	2021-06-03	7370	A
USGS	05129515	2021-06-04	7420	A
USGS	05129515	2021-06-05	7360	A
USGS	05129515	2021-06-06	6610	A
USGS	05129515	2021-06-07	5850	A
USGS	05129515	2021-06-08	3730	A
USGS	05129515	2021-06-09	3700	A
USGS	05129515	2021-06-10	3710	A
USGS	05129515	2021-06-11	3630	A
USGS	05129515	2021-06-12	3780	A
USGS	05129515	2021-06-13	3700	A
USGS	05129515	2021-06-14	3720	A
USGS	05129515	2021-06-15	3700	A
USGS	05129515	2021-06-16	3720	A
USGS	05129515	2021-06-17	3770	A
USGS	05129515	2021-06-18	3790	A
USGS	05129515	2021-06-19	3720	A
USGS	05129515	2021-06-20	3720	A
USGS	05129515	2021-06-21	3740	A
USGS	05129515	2021-06-22	3740	A
USGS	05129515	2021-06-23	3760	A
USGS	05129515	2021-06-24	3750	A
USGS	05129515	2021-06-25	3750	A
USGS	05129515	2021-06-26	3730	A
USGS	05129515	2021-06-27	3740	A
USGS	05129515	2021-06-28	3750	A
USGS	05129515	2021-06-29	3760	A
USGS	05129515	2021-06-30	3740	A
USGS	05129515	2021-07-01	3740	A
USGS	05129515	2021-07-02	3720	A
USGS	05129515	2021-07-03	3660	A
USGS	05129515	2021-07-04	3700	A
USGS	05129515	2021-07-05	3690	A
USGS	05129515	2021-07-06	3630	A
USGS	05129515	2021-07-07	3640	A
USGS	05129515	2021-07-08	3670	A
USGS	05129515	2021-07-09	3690	A
USGS	05129515	2021-07-10	3680	A
USGS	05129515	2021-07-11	3690	A
USGS	05129515	2021-07-12	3670	A
USGS	05129515	2021-07-13	3690	A
USGS	05129515	2021-07-14	3660	A
USGS	05129515	2021-07-15	3680	A
USGS	05129515	2021-07-16	3680	A
USGS	05129515	2021-07-17	3680	A
USGS	05129515	2021-07-18	3700	A
USGS	05129515	2021-07-19	3700	A
USGS	05129515	2021-07-20	3620	A
USGS	05129515	2021-07-21	3440	A
USGS	05129515	2021-07-22	3650	A
USGS	05129515	2021-07-23	3700	A
USGS	05129515	2021-07-24	3770	A
USGS	05129515	2021-07-25	3710	A
USGS	05129515	2021-07-26	3660	A
USGS	05129515	2021-07-27	3670	A
USGS	05129515	2021-07-28	3660	A
USGS	05129515	2021-07-29	3660	A
USGS	05129515	2021-07-30	3670	A
USGS	05129515	2021-07-31	3680	A
USGS	05129515	2021-08-01	3540	A
USGS	05129515	2021-08-02	3650	A
USGS	05129515	2021-08-03	3610	A
USGS	05129515	2021-08-04	3650	A
USGS	05129515	2021-08-05	3620	A
USGS	05129515	2021-08-06	3580	A
USGS	05129515	2021-08-07	3550	A
USGS	05129515	2021-08-08	3580	A
USGS	05129515	2021-08-09	3600	A
USGS	05129515	2021-08-10	3710	A
USGS	05129515	2021-08-11	3710	A
USGS	05129515	2021-08-12	3650	A
USGS	05129515	2021-08-13	3630	A
USGS	05129515	2021-08-14	3630	A
USGS	05129515	2021-08-15	3630	A
USGS	05129515	2021-08-16	3630	A
USGS	05129515	2021-08-17	3680	A
USGS	05129515	2021-08-18	3650	A
USGS	05129515	2021-08-19	3660	A
USGS	05129515	2021-08-20	3650	A
USGS	05129515	2021-08-21	3730	A
USGS	05129515	2021-08-22	3510	A
USGS	05129515	2021-08-23	3730	A
USGS	05129515	2021-08-24	3700	A
USGS	05129515	2021-08-25	3760	A
USGS	05129515	2021-08-26	3680	A
USGS	05129515	2021-08-27	3500	A
USGS	05129515	2021-08-28	3710	A
USGS	05129515	2021-08-29	3770	A
USGS	05129515	2021-08-30	3760	A
USGS	05129515	2021-08-31	3730	A
USGS	05129515	2021-09-01	3720	A
USGS	05129515	2021-09-02	3700	A
USGS	05129515	2021-09-03	3710	A
USGS	05129515	2021-09-04	3790	A
USGS	05129515	2021-09-05	3770	A
USGS	05129515	2021-09-06	3760	A
USGS	05129515	2021-09-07	3810	A
USGS	05129515	2021-09-08	3780	A
USGS	05129515	2021-09-09	3810	A
USGS	05129515	2021-09-10	3810	A
USGS	05129515	2021-09-11	3150	A
USGS	05129515	2021-09-12	3120	A
USGS	05129515	2021-09-13	3150	A
USGS	05129515	2021-09-14	3160	A
USGS	05129515	2021-09-15	3150	A
USGS	05129515	2021-09-16	3180	A
USGS	05129515	2021-09-17	3210	A
USGS	05129515	2021-09-18	3180	A
USGS	05129515	2021-09-19	3180	A
USGS	05129515	2021-09-20	3250	A
USGS	05129515	2021-09-21	3170	A
USGS	05129515	2021-09-22	3190	A
USGS	05129515	2021-09-23	3190	A
USGS	05129515	2021-09-24	3180	A
USGS	05129515	2021-09-25	3180	A
USGS	05129515	2021-09-26	3180	A
USGS	05129515	2021-09-27	3190	A
USGS	05129515	2021-09-28	3160	A
USGS	05129515	2021-09-29	3180	A
USGS	05129515	2021-09-30	3180	A
USGS	05129515	2021-10-01	3200	A
USGS	05129515	2021-10-02	3210	A
USGS	05129515	2021-10-03	3220	A
USGS	05129515	2021-10-04	3200	A
USGS	05129515	2021-10-05	3210	P
USGS	05129515	2021-10-06	3210	P
USGS	05129515	2021-10-07	3230	P
USGS	05129515	2021-10-08	3240	P
USGS	05129515	2021-10-09	3250	P
USGS	05129515	2021-10-10	3240	P
USGS	05129515	2021-10-11	3240	P
USGS	05129515	2021-10-12	3250	P
USGS	05129515	2021-10-13	3230	P
USGS	05129515	2021-10-14	3200	P
USGS	05129515	2021-10-15	3230	P
USGS	05129515	2021-10-16	3230	P
USGS	05129515	2021-10-17	3240	P
USGS	05129515	2021-10-18	3310	P
USGS	05129515	2021-10-19	3500	P
USGS	05129515	2021-10-20	3680	P
USGS	05129515	2021-10-21	3750	P
USGS	05129515	2021-10-22	3790	P
USGS	05129515	2021-10-23	3790	P
USGS	05129515	2021-10-24	3760	P
USGS	05129515	2021-10-25	3760	P
USGS	05129515	2021-10-26	3740	P
USGS	05129515	2021-10-27	3750	P
USGS	05129515	2021-10-28	3810	P
USGS	05129515	2021-10-29	3800	P
USGS	05129515	2021-10-30	3780	P
USGS	05129515	2021-10-31	3820	P
USGS	05129515	2021-11-01	3780	P
USGS	05129515	2021-11-02	3780	P
USGS	05129515	2021-11-03	3770	P
USGS	05129515	2021-11-04	3740	P
USGS	05129515	2021-11-05	3710	P
USGS	05129515	2021-11-06	3730	P
USGS	05129515	2021-11-07	3700	P
USGS	05129515	2021-11-08	3710	P
USGS	05129515	2021-11-09	3840	P
USGS	05129515	2021-11-10	3720	P
USGS	05129515	2021-11-11	3750	P
USGS	05129515	2021-11-12	3770	P
USGS	05129515	2021-11-13	5260	P
USGS	05129515	2021-11-14	5310	P
USGS	05129515	2021-11-15	5300	P
USGS	05129515	2021-11-16	5190	P
USGS	05129515	2021-11-17	5460	P
USGS	05129515	2021-11-18	5350	P
USGS	05129515	2021-11-19	5300	P
USGS	05129515	2021-11-20	5310	P
USGS	05129515	2021-11-21	5420	P
USGS	05129515	2021-11-22	5370	P
USGS	05129515	2021-11-23	5260	P
USGS	05129515	2021-11-24	3770	P
USGS	05129515	2021-11-25	3700	P
USGS	05129515	2021-11-26	3690	P
USGS	05129515	2021-11-27	3700	P
USGS	05129515	2021-11-28	3710	P
USGS	05129515	2021-11-29	3700	P
USGS	05129515	2021-11-30	3570	P
USGS	05129515	2021-12-01	3570	P
USGS	05129515	2021-12-02	3690	P
USGS	05129515	2021-12-03	3730	P
USGS	05129515	2021-12-04	Ice	P
USGS	05129515	2021-12-05	Ice	P
USGS	05129515	2021-12-06		
USGS	05129515	2021-12-07		
USGS	05129515	2021-12-08		
USGS	05129515	2021-12-09		
USGS	05129515	2021-12-10		
USGS	05129515	2021-12-11		
USGS	05129515	2021-12-12		
USGS	05129515	2021-12-13		
USGS	05129515	2021-12-14		
USGS	05129515	2021-12-15		
USGS	05129515	2021-12-16		
USGS	05129515	2021-12-17		
USGS	05129515	2021-12-18		
USGS	05129515	2021-12-19		
USGS	05129515	2021-12-20		
USGS	05129515	2021-12-21		
USGS	05129515	2021-12-22		
USGS	05129515	2021-12-23	Ice	P
USGS	05129515	2021-12-24	Ice	P
USGS	05129515	2021-12-25	Ice	P
USGS	05129515	2021-12-26	Ice	P
USGS	05129515	2021-12-27	Ice	P
USGS	05129515	2021-12-28	Ice	P
USGS	05129515	2021-12-29	Ice	P
USGS	05129515	2021-12-30	Ice	P
USGS	05129515	2021-12-31	Ice	P
USGS	05129515	2022-01-01	Ice	P
USGS	05129515	2022-01-02	Ice	P
USGS	05129515	2022-01-03	Ice	P
USGS	05129515	2022-01-04	Ice	P
USGS	05129515	2022-01-05	Ice	P
USGS	05129515	2022-01-06	Ice	P
USGS	05129515	2022-01-07	Ice	P
USGS	05129515	2022-01-08	Ice	P
USGS	05129515	2022-01-09	Ice	P
USGS	05129515	2022-01-10	Ice	P
USGS	05129515	2022-01-11	Ice	P
USGS	05129515	2022-01-12	Ice	P
USGS	05129515	2022-01-13	Ice	P
USGS	05129515	2022-01-14	Ice	P
USGS	05129515	2022-01-15	Ice	P
USGS	05129515	2022-01-16	Ice	P
USGS	05129515	2022-01-17	Ice	P
USGS	05129515	2022-01-18	Ice	P
USGS	05129515	2022-01-19	Ice	P
USGS	05129515	2022-01-20	Ice	P
USGS	05129515	2022-01-21	Ice	P
USGS	05129515	2022-01-22	Ice	P
USGS	05129515	2022-01-23	Ice	P
USGS	05129515	2022-01-24	Ice	P
USGS	05129515	2022-01-25	Ice	P
USGS	05129515	2022-01-26	Ice	P
USGS	05129515	2022-01-27	Ice	P
USGS	05129515	2022-01-28	Ice	P
USGS	05129515	2022-01-29	Ice	P
USGS	05129515	2022-01-30	Ice	P
USGS	05129515	2022-01-31	Ice	P
USGS	05129515	2022-02-01	Ice	P
USGS	05129515	2022-02-02	Ice	P
USGS	05129515	2022-02-03	Ice	P
USGS	05129515	2022-02-04	Ice	P
USGS	05129515	2022-02-05	Ice	P
USGS	05129515	2022-02-06	Ice	P
USGS	05129515	2022-02-07	Ice	P
USGS	05129515	2022-02-08	Ice	P
USGS	05129515	2022-02-09	Ice	P
USGS	05129515	2022-02-10	Ice	P
USGS	05129515	2022-02-11	Ice	P
USGS	05129515	2022-02-12	Ice	P
USGS	05129515	2022-02-13	Ice	P
USGS	05129515	2022-02-14	Ice	P
USGS	05129515	2022-02-15	Ice	P
USGS	05129515	2022-02-16	Ice	P
USGS	05129515	2022-02-17	Ice	P
USGS	05129515	2022-02-18	Ice	P
USGS	05129515	2022-02-19	Ice	P
USGS	05129515	2022-02-20	Ice	P
USGS	05129515	2022-02-21	Ice	P
USGS	05129515	2022-02-22	Ice	P
USGS	05129515	2022-02-23	Ice	P
USGS	05129515	2022-02-24	Ice	P
USGS	05129515	2022-02-25	Ice	P
USGS	05129515	2022-02-26	Ice	P
USGS	05129515	2022-02-27	Ice	P
USGS	05129515	2022-02-28	Ice	P
USGS	05129515	2022-03-01	5980	P
USGS	05129515	2022-03-02	5850	P
USGS	05129515	2022-03-03	5950	P
USGS	05129515	2022-03-04	5920	P
USGS	05129515	2022-03-05	5830	P
USGS	05129515	2022-03-06	5840	P
USGS	05129515	2022-03-07	5860	P
USGS	05129515	2022-03-08	5900	P
USGS	05129515	2022-03-09	5910	P
USGS	05129515	2022-03-10	6280	P
USGS	05129515	2022-03-11	6080	P
USGS	05129515	2022-03-12	6330	P
USGS	05129515	2022-03-13	5990	P
USGS	05129515	2022-03-14	5930	P
USGS	05129515	2022-03-15	5820	P
USGS	05129515	2022-03-16	5820	P
USGS	05129515	2022-03-17	5590	P
USGS	05129515	2022-03-18	5740	P
USGS	05129515	2022-03-19	5790	P
USGS	05129515	2022-03-20	6800	P
USGS	05129515	2022-03-21	6800	P
USGS	05129515	2022-03-22	6990	P
USGS	05129515	2022-03-23	6800	P
USGS	05129515	2022-03-24	6760	P
USGS	05129515	2022-03-25	8280	P
USGS	05129515	2022-03-26	8070	P
USGS	05129515	2022-03-27	7980	P
USGS	05129515	2022-03-28	7900	P
USGS	05129515	2022-03-29	7900	P
USGS	05129515	2022-03-30	7920	P
USGS	05129515	2022-03-31	7960	P
USGS	05129515	2022-04-01	7930	P
USGS	05129515	2022-04-02	7990	P
USGS	05129515	2022-04-03	8070	P
USGS	05129515	2022-04-04	8290	P
USGS	05129515	2022-04-05	7700	P
USGS	05129515	2022-04-06	7950	P
USGS	05129515	2022-04-07	8030	P
USGS	05129515	2022-04-08	8070	P
USGS	05129515	2022-04-09	7910	P
USGS	05129515	2022-04-10	8280	P
USGS	05129515	2022-04-11	9590	P
USGS	05129515	2022-04-12	9410	P
USGS	05129515	2022-04-13	9330	P
USGS	05129515	2022-04-14	9620	P
USGS	05129515	2022-04-15	9790	P
USGS	05129515	2022-04-16	9500	P
USGS	05129515	2022-04-17	9390	P
USGS	05129515	2022-04-18	9520	P
USGS	05129515	2022-04-19	9470	P
USGS	05129515	2022-04-20	9590	P
USGS	05129515	2022-04-21	11600	P
USGS	05129515	2022-04-22	11500	P
USGS	05129515	2022-04-23	14800	P
USGS	05129515	2022-04-24	19000	P
USGS	05129515	2022-04-25	20600	P
USGS	05129515	2022-04-26	23400	P
USGS	05129515	2022-04-27	23800	P
USGS	05129515	2022-04-28	24200	P
USGS	05129515	2022-04-29	24800	P
USGS	05129515	2022-04-30	25200	P
USGS	05129515	2022-05-01	25800	P
USGS	05129515	2022-05-02	26900	P
USGS	05129515	2022-05-03	28100	P
USGS	05129515	2022-05-04	29200	P
USGS	05129515	2022-05-05	30000	P
USGS	05129515	2022-05-06	30700	P
USGS	05129515	2022-05-07	31300	P
USGS	05129515	2022-05-08	31900	P
USGS	05129515	2022-05-09	32700	P
USGS	05129515	2022-05-10	33700	P
USGS	05129515	2022-05-11	34400	P
USGS	05129515	2022-05-12	35100	P
USGS	05129515	2022-05-13	36600	P
USGS	05129515	2022-05-14	37700	P
USGS	05129515	2022-05-15	38400	P
USGS	05129515	2022-05-16	39000	P
USGS	05129515	2022-05-17	39700	P
USGS	05129515	2022-05-18	40300	P
USGS	05129515	2022-05-19	40800	P
USGS	05129515	2022-05-20	41100	P
USGS	05129515	2022-05-21	41800	P
USGS	05129515	2022-05-22	42400	P
USGS	05129515	2022-05-23	42800	P
USGS	05129515	2022-05-24	43300	P
USGS	05129515	2022-05-25	43700	P
USGS	05129515	2022-05-26	44300	P
USGS	05129515	2022-05-27	44900	P
USGS	05129515	2022-05-28	45200	P
USGS	05129515	2022-05-29	45900	P
USGS	05129515	2022-05-30	47000	P
USGS	05129515	2022-05-31	47300	P
USGS	05129515	2022-06-01	48100	P
