Year,DJF,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ
1950,-1.4,-1.2,-1.1,-1.2,-1.1,-0.9,-0.6,-0.6,-0.5,-0.6,-0.7,-0.8
1951,-0.8,-0.6,-0.2,0.2,0.2,0.4,0.5,0.7,0.8,0.9,0.7,0.6
1952,0.5,0.4,0.4,0.4,0.4,0.2,0,0.1,0.2,0.2,0.2,0.3
1953,0.5,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.7
1954,0.7,0.4,0,-0.4,-0.5,-0.5,-0.5,-0.7,-0.7,-0.6,-0.5,-0.5
1955,-0.6,-0.6,-0.7,-0.7,-0.7,-0.6,-0.6,-0.6,-1,-1.4,-1.6,-1.4
1956,-0.9,-0.6,-0.6,-0.5,-0.5,-0.4,-0.5,-0.5,-0.4,-0.4,-0.5,-0.4
1957,-0.3,0,0.3,0.6,0.7,0.9,1,1.2,1.1,1.2,1.3,1.6
1958,1.7,1.5,1.2,0.8,0.7,0.6,0.5,0.4,0.4,0.5,0.6,0.6
1959,0.6,0.5,0.4,0.2,0.1,-0.2,-0.3,-0.3,-0.1,-0.1,-0.1,-0.1
1960,-0.1,-0.2,-0.1,0,-0.1,-0.2,0,0.1,0.2,0.1,0,0
1961,0,0,-0.1,0,0.1,0.2,0.1,-0.1,-0.3,-0.3,-0.2,-0.2
1962,-0.2,-0.2,-0.2,-0.3,-0.3,-0.2,-0.1,-0.2,-0.2,-0.3,-0.3,-0.4
1963,-0.4,-0.2,0.1,0.2,0.2,0.4,0.7,1,1.1,1.2,1.2,1.1
1964,1,0.6,0.1,-0.3,-0.6,-0.6,-0.7,-0.7,-0.8,-0.8,-0.8,-0.8
1965,-0.5,-0.3,-0.1,0.1,0.4,0.7,1,1.3,1.6,1.7,1.8,1.5
1966,1.3,1,0.9,0.6,0.3,0.2,0.2,0.1,0,-0.1,-0.1,-0.3
1967,-0.4,-0.5,-0.5,-0.5,-0.2,0,0,-0.2,-0.3,-0.4,-0.4,-0.5
1968,-0.7,-0.8,-0.7,-0.5,-0.1,0.2,0.5,0.4,0.3,0.4,0.6,0.8
1969,0.9,1,0.9,0.7,0.6,0.5,0.4,0.5,0.8,0.8,0.8,0.7
1970,0.6,0.4,0.4,0.3,0.1,-0.3,-0.6,-0.8,-0.8,-0.8,-0.9,-1.2
